WORD,HYPERONYMS,TEXT
ЛЕКСИКОГРАФИЯ,Словообразование,"Лексикография — раздел языкознания, занимающийся вопросами составления словарей и их изучения; наука, изучающая семантическую структуру слова, особенности слов, их толкование."
ЛЕКСИКОГРАФИЯ,Языкознание,"лексикография  это собирание слов какого-нибудь языка, приведение их в систему и издание в виде лексикона, словаря."
ЛЕКСИКОГРАФИЯ,Собирание слов,"ЛЕКСИКОГРАФИЯ  это совокупность печатных трудов словарного типа, словарная литература"
ЛЕКСИКОГРАФИЯ,Словосочетание,"лексикография — труды по лексикографии, а таже Совокупность печатных трудов словарного типа, словарная литература."
ЛЕКСИКОГРАФИЯ,Раздел лингвистики,"лексикография — это специальный раздел лингвистики, занимающийся теорией и практикой составления словарей. Он называется лексикографией"
ЛЕМЕХ,Сошник,"Лемех —  сошник у плуга, у сабана и косули, рало, лемех треугольный, наваренный сталью, и насаживается трубкою плашмя наискось на ногу сабана, он подрезывает и вздымает пласт, отрез кроит его, полица оборачивает. Передний угол лемеха: носок, а верхний: перо."
ЛЕМЕХ,Пахарь,"Лемех  это Пахарь, Стальной, служит для подрезки пласта земли, нужен для вспахивания"
ЛЕМЕХ,Часть плуга,"Лемех —  Часть плуга, подрезающая пласт земли снизу И плуги служат вот уже три года, разумеется резцы и лемехи приходилось переменять"
ЛЕМЕХ,Наконечник плуга,Лемех — острый наконечник плуга.
ЛЕМЕХ,Деталь,Лемех — это острая деталь плуга служащая для подрезания травы
ЛЕМУР,Мадагаскарская обезьяна,"Лемур — Разряд обезьян, полуобезьяны, маки, которые более походят на собак или лисиц."
ЛЕМУР,Полуобезьяна,Лемур — Полуобезьяна с длинным хвостом и удлиненными задними конечностями.
ЛЕМУР,Длиннохвостый примат,Лемур — Небольшой зверек тропических лесов - полуобезьяна с длинным хвостом и удлиненными задними конечностями.
ЛЕМУР,Примат,Лемур — представитель инфраотряда приматов лемурообразные
ЛЕМУР,Тропический зверь,"Лемур — представитель приматов, живущие в тропической местности, на о. Мадагаскар"
ЛЕНИНЕЦ,Адепт ленинизма,"Ленинец это Человек, преданный учению Ленина последовательно осуществляющий принципы ленинизма в своей деятельности. Мы - партия марксистов-ленинцев. Сталин."
ЛЕНИНЕЦ,Коммунист,"Лениец — Последователь ленинизма, коммунизма, большевистского движения."
ЛЕНИНЕЦ,Большевик,"Лениец — человек, сторонник большевистского движения"
ЛЕНИНЕЦ,Красный,"Ленинец — сторонник красных, большевиков восхваляющих идеалы Ленина"
ЛЕНИНЕЦ,Советский человек,"Ленинец это Гражданин советского союза, верно следующий учению Ленина."
ЛЕПТОСПИРОЗ,Лихорадочное заболевание,"Лептоспироз — острая инфекционная болезнь , возбудителем которой являются бактерии"
ЛЕПТОСПИРОЗ,Заразное лихорадочное заболевание,Лептоспироз это Болезнь которая характеризуется поражением капилляров
ЛЕПТОСПИРОЗ,Острая заразная болезнь,Лептоспироз это острое инфекционном заболевании с увеличением селезёнки
ЛЕПТОСПИРОЗ,Инфекционная болезнь,"Лептоспироз — инфекция часто поражающая печень , почки , мышцы"
ЛЕПТОСПИРОЗ,Заболевание,"Лептоспироз — характерна явлениями интоксикации, сопровождается волнообразной лихорадкой ."
ЛЕСИСТОСТЬ,Лесная местность,"Лесистость — степень облесённости территории . Определяется отношением покрытой лесом площади к общей площади страны , района , лесхоза и т. д.; выражается в процентах . Величина лесистости в разных районах страны может различаться в зависимости от физико-географических , климатических и почвенных условий"
ЛЕСИСТОСТЬ,Почва,"Лесистость— Минимально необходимая лесистость, противодействующая эрозии почвы в безлесных или малолесных сельскохозяйственных районах."
ЛЕСИСТОСТЬ,Опушка,"Лесистость это лесистый и сущ. лес, далее из праслав. *lěsъ, от кот. в числе прочего произошли: ст.-слав. лѣсъ, укр. ліс, белор., болг. лес,"
ЛЕСИСТОСТЬ,Лес,"Лесистость — Величина лесистости в разных районах страны может различаться в зависимости от физико-географических, климатических и почвенных условий"
ЛЕСИСТОСТЬ,Почвообразование,"лесистость — местность покрытая лесами, сформированная в процессе преобразования почвы естественным путём"
ЛЕТАРГИЯ,Забвение,"летаргия это Перен. состояние спячки, бездействие, оцепенение"
ЛЕТАРГИЯ,Спячка,"Летаргия это Состояние, похожее на сон, характеризующееся неподвижностью, отсутствием реакций на внешние раздражения, мнимая смерть."
ЛЕТАРГИЯ,Сон,"Летаргия — ( «забвение»,  «бездействие») — болезненное состояние, характеризующееся медлительностью, вялостью, усталостью. "
ЛЕТАРГИЯ,Оцепенение,"Летаргия это Болезненный сон, длящийся от нескольких часов до нескольких лет с почти неощутимыми в тяжелых случаях пульсом и дыханием"
ЛЕТАРГИЯ,Летаргический сон,Летаргия — Летаргический сон в общепринятом его понимании является выдуманным
ЛЕТЯГА,Белка,"Летяга — Животное из отряда грызунов, похожее на белку, у которого передние ноги соединены с задними широкой летательной перепонкой. Это оказалась летяга. --- По бокам [у нее] между передними и задними ногами имеется эластичная складка кожи, которая позволяет ей планировать от одного дерева к другому. Арсеньев, По Уссурийской тайге."
ЛЕТЯГА,Белка-планёр,"Индийская гигантская летяга (лат. Petaurista philippensis) — грызун из рода гигантских летяг семейства беличьих. Обитает в центральном и южном Китае, Индии, Индонезии, Мьянме, Вьетнаме и Таиланде, на Шри-Ланке и Тайване."
ЛЕТЯГА,Полёвка,"Летяга это животное из отряда грызунов, похожее на белку"
ЛЕТЯГА,Грызун,"Летяга — грызун, обитает в центральном и южном Китае, Индии, Индонезии, Мьянме, Вьетнаме и Таиланде, на Шри-Ланке и Тайване."
ЛЕТЯГА,Млекапитающее,"Летяга это млекопитающее, живущее на деревьях и имеющее по бокам тела и между конечностями кожистую перепонку, которая служит для планирующего полёта"
ЛЖЕСВИДЕТЕЛЬ,Протокольный врун,"лжесвидетель — человек, дающий заведомо ложные показания судебным и следственным органам"
ЛЖЕСВИДЕТЕЛЬ,Лжец,"Лжесвидетель это Лицо, дающее ложное свидетельство о чём-л."
ЛЖЕСВИДЕТЕЛЬ,Понятой,Понятой — человек прямо или косвенно являющийся свидетелем происшествия
